Nombre,Hora,Diferencia_Minutos
[G] X BELGRANO X19 A CEMENT,00:21:10
[D] X CENTENARIO AL CEMENT.,00:46:10
[D] X CENTENARIO AL CEMENT.,01:16:10
[D] X CENTENARIO AL CEMENT.,02:01:10
[D] X CENTENARIO AL CEMENT.,02:41:10
[D] X CENTENARIO AL CEMENT.,04:41:10
[G] X BELGRANO X19 A CEMENT,05:41:10
[D] X CENTENARIO AL CEMENT.,06:11:10
[D] X CENTENARIO AL CEMENT.,06:41:10
[G] X BELGRANO X19 A CEMENT,06:56:10
[D] X CENTENARIO AL CEMENT.,07:11:10
[G] X BELGRANO X19 A CEMENT,07:26:10
[D] X CENTENARIO AL CEMENT.,07:41:10
[G] X BELGRANO X19 A CEMENT,07:56:10
[D] X CENTENARIO AL CEMENT.,08:11:10
[G] X BELGRANO X19 A CEMENT,08:31:10
[D] X CENTENARIO AL CEMENT.,08:46:10
[G] X BELGRANO X19 A CEMENT,09:04:10
[D] X CENTENARIO AL CEMENT.,09:17:10
[G] X BELGRANO X19 A CEMENT,09:33:10
[D] X CENTENARIO AL CEMENT.,09:47:10
[G] X BELGRANO X19 A CEMENT,10:03:10
[D] X CENTENARIO AL CEMENT.,10:17:10
[G] X BELGRANO X19 A CEMENT,10:33:10
[D] X CENTENARIO AL CEMENT.,10:47:10
[G] X BELGRANO X19 A CEMENT,11:03:10
[D] X CENTENARIO AL CEMENT.,11:17:10
[G] X BELGRANO X19 A CEMENT,11:33:10
[D] X CENTENARIO AL CEMENT.,11:47:10
[G] X BELGRANO X19 A CEMENT,12:03:10
[D] X CENTENARIO AL CEMENT.,12:17:10
[G] X BELGRANO X19 A CEMENT,12:33:10
[D] X CENTENARIO AL CEMENT.,12:47:10
[G] X BELGRANO X19 A CEMENT,13:03:10
[D] X CENTENARIO AL CEMENT.,13:17:10
[G] X BELGRANO X19 A CEMENT,13:33:10
[D] X CENTENARIO AL CEMENT.,13:47:10
[G] X BELGRANO X19 A CEMENT,14:03:10
[D] X CENTENARIO AL CEMENT.,14:17:10
[G] X BELGRANO X19 A CEMENT,14:33:10
[D] X CENTENARIO AL CEMENT.,14:47:10
[G] X BELGRANO X19 A CEMENT,15:03:10
[D] X CENTENARIO AL CEMENT.,15:17:10
[G] X BELGRANO X19 A CEMENT,15:33:10
[D] X CENTENARIO AL CEMENT.,15:47:10
[G] X BELGRANO X19 A CEMENT,16:03:10
[D] X CENTENARIO AL CEMENT.,16:17:10
[G] X BELGRANO X19 A CEMENT,16:33:10
[D] X CENTENARIO AL CEMENT.,16:47:10
[G] X BELGRANO X19 A CEMENT,17:03:10
[D] X CENTENARIO AL CEMENT.,17:17:10
[G] X BELGRANO X19 A CEMENT,17:33:10
[D] X CENTENARIO AL CEMENT.,17:47:10
[G] X BELGRANO X19 A CEMENT,18:03:10
[D] X CENTENARIO AL CEMENT.,18:17:10
[G] X BELGRANO X19 A CEMENT,18:28:10
[D] X CENTENARIO AL CEMENT.,18:37:10
[G] X BELGRANO X19 A CEMENT,18:48:10
[D] X CENTENARIO AL CEMENT.,18:57:10
[G] X BELGRANO X19 A CEMENT,19:08:10
[D] X CENTENARIO AL CEMENT.,19:17:10
[G] X BELGRANO X19 A CEMENT,19:28:10
[D] X CENTENARIO AL CEMENT.,19:37:10
[G] X BELGRANO X19 A CEMENT,19:46:10
[D] X CENTENARIO AL CEMENT.,19:55:10
[G] X BELGRANO X19 A CEMENT,20:01:10
[D] X CENTENARIO AL CEMENT.,20:12:10
[G] X BELGRANO X19 A CEMENT,20:20:10
[D] X CENTENARIO AL CEMENT.,20:31:10
[G] X BELGRANO X19 A CEMENT,20:40:10
[D] X CENTENARIO AL CEMENT.,20:51:10
[G] X BELGRANO X19 A CEMENT,21:01:10
[D] X CENTENARIO AL CEMENT.,21:11:10
[G] X BELGRANO X19 A CEMENT,21:21:10
[D] X CENTENARIO AL CEMENT.,21:36:10
[G] X BELGRANO X19 A CEMENT,21:51:10
[D] X CENTENARIO AL CEMENT.,22:11:10
[G] X BELGRANO X19 A CEMENT,22:31:10
[D] X CENTENARIO AL CEMENT.,22:43:10
[G] X BELGRANO X19 A CEMENT,22:56:10
[D] X CENTENARIO AL CEMENT.,23:26:10
[G] X BELGRANO X19 A CEMENT,23:41:10
[D] X CENTENARIO AL CEMENT.,23:56:10
