Nombre,Hora,Diferencia_Minutos
[338] A LA PLATA (X PASCO),00:40:01,40
[338] A LA PLATA (X RUTA 4),01:04:01,24
[338] A LA PLATA (X PASCO),02:11:01,67
[338] A LA PLATA (X RUTA 4),02:30:01,19
[338] A LA PLATA (X PASCO),03:21:01,51
[338] A LA PLATA (X RUTA 4),03:30:01,9
[338] A LA PLATA (X PASCO),04:20:01,50
[338] A LA PLATA (X RUTA 4),04:30:01,10
[338] A LA PLATA (X PASCO),05:04:01,34
[338] A LA PLATA (X RUTA 4),05:10:01,6
[338] A LA PLATA (X RUTA 4),05:46:01,36
[338] A LA PLATA (X PASCO),05:51:01,5
[338] A LA PLATA (X PASCO),06:13:03,22
[338] VARELA - LA PLATA (X BELGRANO),06:21:03,8
[338] A LA PLATA (X RUTA 4),06:24:03,3
[338] VARELA - LA PLATA (X BELGRANO),06:43:03,19
[338] A LA PLATA (X RUTA 4),06:57:03,14
[338] A LA PLATA (X PASCO),07:06:03,9
[338] VARELA - LA PLATA (X BELGRANO),07:18:03,12
[338] A LA PLATA (X RUTA 4),07:41:03,23
[338] VARELA - LA PLATA (X BELGRANO),07:41:03,0
[338] A LA PLATA (X PASCO),07:44:03,3
[338] A LA PLATA (X RUTA 4),08:08:03,24
[338] A LA PLATA (X PASCO),08:21:03,13
[338] A LA PLATA (X PASCO),08:47:03,26
[338] A LA PLATA (X RUTA 4),08:47:03,0
[338] A LA PLATA (X RUTA 4),09:15:03,28
[338] A LA PLATA (X PASCO),09:24:03,9
[338] A LA PLATA (X PASCO),09:51:03,27
[338] A LA PLATA (X RUTA 4),09:51:03,0
[338] A LA PLATA (X RUTA 4),10:19:03,28
[338] VARELA - LA PLATA (X BELGRANO),10:21:03,2
[338] A LA PLATA (X PASCO),10:24:03,3
[338] VARELA - LA PLATA (X BELGRANO),10:48:03,24
[338] A LA PLATA (X RUTA 4),10:55:03,7
[338] A LA PLATA (X PASCO),10:56:03,1
[338] VARELA - LA PLATA (X BELGRANO),11:03:03,7
[338] A LA PLATA (X RUTA 4),11:23:03,20
[338] A LA PLATA (X PASCO),11:23:03,0
[338] VARELA - LA PLATA (X BELGRANO),11:43:03,20
[338] A LA PLATA (X RUTA 4),11:51:03,8
[338] A LA PLATA (X RUTA 4),12:00:03,9
[338] A LA PLATA (X RUTA 4),12:13:01,13
[338] A LA PLATA (X PASCO),12:15:01,2
[338] A LA PLATA (X RUTA 4),12:33:01,18
[338] A LA PLATA (X RUTA 4),12:46:03,13
[338] A LA PLATA (X PASCO),12:50:01,4
[338] A LA PLATA (X RUTA 4),13:05:01,15
[338] A LA PLATA (X PASCO),13:32:01,27
[338] A LA PLATA (X RUTA 4),13:37:01,5
[338] A LA PLATA (X PASCO),14:17:01,40
[338] A LA PLATA (X RUTA 4),14:23:01,6
[338] A LA PLATA (X RUTA 4),14:43:01,20
[338] A LA PLATA (X PASCO),14:43:01,0
[338] A LA PLATA (X PASCO),15:17:01,34
[338] A LA PLATA (X RUTA 4),15:21:01,4
[338] A LA PLATA (X RUTA 4),15:31:01,10
[338] A LA PLATA (X RUTA 4),15:47:01,16
[338] A LA PLATA (X PASCO),16:20:01,33
[338] A LA PLATA (X RUTA 4),16:24:01,4
[338] A LA PLATA (X RUTA 4),16:51:01,27
[338] A LA PLATA (X PASCO),16:51:01,0
[338] A LA PLATA (X PASCO),17:17:03,26
[338] A LA PLATA (X RUTA 4),17:26:01,9
[338] A LA PLATA (X PASCO),17:54:01,28
[338] A LA PLATA (X RUTA 4),17:55:01,1
[338] A LA PLATA (X RUTA 4),18:08:03,13
[338] A LA PLATA (X PASCO),18:27:01,19
[338] A LA PLATA (X RUTA 4),18:59:01,32
[338] A LA PLATA (X PASCO),19:09:01,10
[338] A LA PLATA (X RUTA 4),19:26:01,17
[338] A LA PLATA (X RUTA 4),19:49:01,23
[338] A LA PLATA (X RUTA 4),20:12:01,23
[338] A LA PLATA (X PASCO),20:22:01,10
[338] A LA PLATA (X RUTA 4),20:23:01,1
[338] A LA PLATA (X RUTA 4),20:33:01,10
[338] A LA PLATA (X PASCO),20:34:01,1
[338] A LA PLATA (X RUTA 4),20:53:01,19
[338] A LA PLATA (X PASCO),21:02:03,9
[338] A LA PLATA (X PASCO),21:12:01,10
[338] A LA PLATA (X PASCO),21:39:01,27
[338] A LA PLATA (X RUTA 4),21:54:01,15
[338] A LA PLATA (X RUTA 4),21:56:01,2
[338] A LA PLATA (X PASCO),22:22:01,26
[338] A LA PLATA (X RUTA 4),22:32:01,10
[338] A LA PLATA (X RUTA 4),23:13:01,41
[338] A LA PLATA (X PASCO),23:31:01,18
